RUN	conduitApp.performance.PerformanceTest	performancetest	1616162080713	| Performance test suite.	3.0.2
USER	Performance simulation	103	START	1616162116632	1616162116632
REQUEST	99		Create article: Third title	1616162116141	1616162116713	OK	 
USER	Performance simulation	99	END	1616162116132	1616162116714
USER	Performance simulation	104	START	1616162116751	1616162116751
REQUEST	100		Create article: First title	1616162116260	1616162116864	OK	 
USER	Performance simulation	100	END	1616162116252	1616162116864
USER	Performance simulation	105	START	1616162116883	1616162116883
REQUEST	102		Create article: Third title	1616162116510	1616162116918	OK	 
USER	Performance simulation	102	END	1616162116501	1616162116920
USER	Performance simulation	106	START	1616162116991	1616162116991
REQUEST	101		Create article: Second title	1616162116399	1616162117011	OK	 
USER	Performance simulation	101	END	1616162116382	1616162117012
USER	Performance simulation	107	START	1616162117102	1616162117102
USER	Performance simulation	108	START	1616162117212	1616162117212
REQUEST	103		Create article: First title	1616162116641	1616162117212	OK	 
USER	Performance simulation	103	END	1616162116632	1616162117214
USER	Performance simulation	109	START	1616162117322	1616162117322
REQUEST	104		Create article: Second title	1616162116760	1616162117334	OK	 
USER	Performance simulation	104	END	1616162116751	1616162117334
USER	Performance simulation	110	START	1616162117432	1616162117432
REQUEST	105		Create article: Third title	1616162116894	1616162117495	OK	 
USER	Performance simulation	105	END	1616162116883	1616162117498
USER	Performance simulation	111	START	1616162117543	1616162117543
REQUEST	106		Create article: First title	1616162116998	1616162117561	OK	 
USER	Performance simulation	106	END	1616162116991	1616162117561
USER	Performance simulation	112	START	1616162117662	1616162117662
REQUEST	107		Create article: Second title	1616162117109	1616162117663	OK	 
USER	Performance simulation	107	END	1616162117102	1616162117664
USER	Performance simulation	113	START	1616162117772	1616162117772
REQUEST	108		Create article: Third title	1616162117224	1616162117812	OK	 
USER	Performance simulation	108	END	1616162117212	1616162117813
USER	Performance simulation	114	START	1616162117882	1616162117882
REQUEST	109		Create article: First title	1616162117328	1616162117939	OK	 
USER	Performance simulation	109	END	1616162117322	1616162117940
USER	Performance simulation	115	START	1616162117993	1616162117993
REQUEST	110		Create article: Second title	1616162117438	1616162118063	OK	 
USER	Performance simulation	110	END	1616162117432	1616162118065
USER	Performance simulation	116	START	1616162118101	1616162118101
REQUEST	112		Create article: First title	1616162117670	1616162118148	OK	 
USER	Performance simulation	112	END	1616162117662	1616162118149
REQUEST	111		Create article: Third title	1616162117551	1616162118194	OK	 
USER	Performance simulation	111	END	1616162117543	1616162118194
USER	Performance simulation	117	START	1616162118215	1616162118215
USER	Performance simulation	118	START	1616162118322	1616162118322
REQUEST	113		Create article: Second title	1616162117782	1616162118410	OK	 
USER	Performance simulation	113	END	1616162117772	1616162118411
USER	Performance simulation	119	START	1616162118442	1616162118442
REQUEST	114		Create article: Third title	1616162117893	1616162118518	OK	 
USER	Performance simulation	114	END	1616162117882	1616162118519
USER	Performance simulation	120	START	1616162118550	1616162118550
USER	Performance simulation	121	START	1616162118660	1616162118660
REQUEST	115		Create article: First title	1616162118002	1616162118679	OK	 
USER	Performance simulation	115	END	1616162117993	1616162118680
REQUEST	117		Create article: Third title	1616162118228	1616162118707	OK	 
USER	Performance simulation	117	END	1616162118215	1616162118709
REQUEST	116		Create article: Second title	1616162118108	1616162118752	OK	 
USER	Performance simulation	116	END	1616162118101	1616162118754
USER	Performance simulation	122	START	1616162118773	1616162118773
USER	Performance simulation	123	START	1616162118882	1616162118882
REQUEST	119		Create article: Second title	1616162118449	1616162118895	OK	 
USER	Performance simulation	119	END	1616162118442	1616162118896
USER	Performance simulation	124	START	1616162118983	1616162118983
USER	Performance simulation	125	START	1616162119082	1616162119082
REQUEST	121		Create article: First title	1616162118677	1616162119089	OK	 
USER	Performance simulation	121	END	1616162118660	1616162119090
REQUEST	120		Create article: Third title	1616162118559	1616162119127	OK	 
USER	Performance simulation	120	END	1616162118550	1616162119128
USER	Performance simulation	126	START	1616162119181	1616162119181
USER	Performance simulation	127	START	1616162119281	1616162119281
REQUEST	118		Create article: First title	1616162118329	1616162119287	OK	 
USER	Performance simulation	118	END	1616162118322	1616162119288
REQUEST	122		Create article: Second title	1616162118782	1616162119343	OK	 
USER	Performance simulation	122	END	1616162118773	1616162119344
USER	Performance simulation	128	START	1616162119383	1616162119383
REQUEST	123		Create article: Third title	1616162118894	1616162119466	OK	 
USER	Performance simulation	123	END	1616162118882	1616162119466
USER	Performance simulation	129	START	1616162119482	1616162119482
REQUEST	124		Create article: First title	1616162118992	1616162119560	OK	 
USER	Performance simulation	124	END	1616162118983	1616162119561
USER	Performance simulation	130	START	1616162119582	1616162119582
USER	Performance simulation	131	START	1616162119682	1616162119682
REQUEST	127		Create article: First title	1616162119290	1616162119735	OK	 
USER	Performance simulation	127	END	1616162119281	1616162119736
REQUEST	125		Create article: Second title	1616162119098	1616162119762	OK	 
USER	Performance simulation	125	END	1616162119082	1616162119763
USER	Performance simulation	132	START	1616162119782	1616162119782
REQUEST	126		Create article: Third title	1616162119192	1616162119785	OK	 
USER	Performance simulation	126	END	1616162119181	1616162119786
REQUEST	129		Create article: Third title	1616162119495	1616162119891	OK	 
USER	Performance simulation	129	END	1616162119482	1616162119892
REQUEST	128		Create article: Second title	1616162119400	1616162119963	OK	 
USER	Performance simulation	128	END	1616162119383	1616162119963
REQUEST	131		Create article: Second title	1616162119693	1616162120074	OK	 
USER	Performance simulation	131	END	1616162119682	1616162120075
USER	Performance simulation	133	START	1616162120172	1616162120172
REQUEST	130		Create article: First title	1616162119593	1616162120202	OK	 
USER	Performance simulation	130	END	1616162119582	1616162120202
REQUEST	132		Create article: Third title	1616162119791	1616162120386	OK	 
USER	Performance simulation	132	END	1616162119782	1616162120386
USER	Performance simulation	134	START	1616162120452	1616162120452
USER	Performance simulation	135	START	1616162120542	1616162120542
REQUEST	133		Create article: First title	1616162120179	1616162120776	OK	 
USER	Performance simulation	133	END	1616162120172	1616162120777
USER	Performance simulation	136	START	1616162120903	1616162120903
REQUEST	134		Create article: Second title	1616162120458	1616162121050	OK	 
USER	Performance simulation	134	END	1616162120452	1616162121051
REQUEST	135		Create article: Third title	1616162120552	1616162121149	OK	 
USER	Performance simulation	135	END	1616162120542	1616162121149
USER	Performance simulation	137	START	1616162121232	1616162121232
REQUEST	136		Create article: First title	1616162120914	1616162121487	OK	 
USER	Performance simulation	136	END	1616162120903	1616162121487
USER	Performance simulation	138	START	1616162121562	1616162121562
USER	Performance simulation	139	START	1616162121652	1616162121652
REQUEST	137		Create article: Second title	1616162121238	1616162121703	OK	 
USER	Performance simulation	137	END	1616162121232	1616162121707
USER	Performance simulation	140	START	1616162121722	1616162121722
USER	Performance simulation	141	START	1616162121741	1616162121741
REQUEST	138		Create article: Third title	1616162121570	1616162121978	OK	 
USER	Performance simulation	138	END	1616162121562	1616162121978
REQUEST	139		Create article: First title	1616162121660	1616162122083	OK	 
USER	Performance simulation	139	END	1616162121652	1616162122083
USER	Performance simulation	142	START	1616162122091	1616162122091
REQUEST	140		Create article: Second title	1616162121731	1616162122158	OK	 
USER	Performance simulation	140	END	1616162121722	1616162122158
REQUEST	141		Create article: Third title	1616162121748	1616162122302	OK	 
USER	Performance simulation	141	END	1616162121741	1616162122303
USER	Performance simulation	143	START	1616162122423	1616162122423
USER	Performance simulation	144	START	1616162122432	1616162122432
REQUEST	142		Create article: First title	1616162122099	1616162122478	OK	 
USER	Performance simulation	142	END	1616162122091	1616162122479
USER	Performance simulation	145	START	1616162122502	1616162122502
USER	Performance simulation	146	START	1616162122502	1616162122502
USER	Performance simulation	147	START	1616162122702	1616162122702
USER	Performance simulation	148	START	1616162122722	1616162122722
REQUEST	146		Create article: First title	1616162122511	1616162122914	OK	 
USER	Performance simulation	146	END	1616162122502	1616162122915
REQUEST	145		Create article: Second title	1616162122513	1616162122920	OK	 
USER	Performance simulation	145	END	1616162122502	1616162122921
USER	Performance simulation	149	START	1616162122963	1616162122963
REQUEST	143		Create article: Second title	1616162122430	1616162123025	OK	 
USER	Performance simulation	143	END	1616162122423	1616162123026
REQUEST	144		Create article: Third title	1616162122444	1616162123043	OK	 
USER	Performance simulation	144	END	1616162122432	1616162123044
USER	Performance simulation	150	START	1616162123082	1616162123082
REQUEST	148		Create article: First title	1616162122737	1616162123147	OK	 
USER	Performance simulation	148	END	1616162122722	1616162123149
USER	Performance simulation	151	START	1616162123215	1616162123215
USER	Performance simulation	152	START	1616162123242	1616162123242
REQUEST	147		Create article: Third title	1616162122712	1616162123277	OK	 
USER	Performance simulation	147	END	1616162122702	1616162123278
REQUEST	149		Create article: Second title	1616162122970	1616162123381	OK	 
USER	Performance simulation	149	END	1616162122963	1616162123382
USER	Performance simulation	153	START	1616162123522	1616162123522
USER	Performance simulation	154	START	1616162123572	1616162123572
REQUEST	150		Create article: Third title	1616162123095	1616162123648	OK	 
USER	Performance simulation	150	END	1616162123082	1616162123648
USER	Performance simulation	155	START	1616162123783	1616162123783
REQUEST	151		Create article: First title	1616162123224	1616162123794	OK	 
USER	Performance simulation	151	END	1616162123215	1616162123795
USER	Performance simulation	156	START	1616162123830	1616162123830
REQUEST	152		Create article: Second title	1616162123248	1616162123839	OK	 
USER	Performance simulation	152	END	1616162123242	1616162123840
USER	Performance simulation	157	START	1616162123892	1616162123892
REQUEST	153		Create article: Third title	1616162123529	1616162123937	OK	 
USER	Performance simulation	153	END	1616162123522	1616162123938
USER	Performance simulation	158	START	1616162124022	1616162124022
USER	Performance simulation	159	START	1616162124112	1616162124112
USER	Performance simulation	160	START	1616162124122	1616162124122
REQUEST	154		Create article: First title	1616162123579	1616162124138	OK	 
USER	Performance simulation	154	END	1616162123572	1616162124139
USER	Performance simulation	161	START	1616162124211	1616162124211
REQUEST	157		Create article: First title	1616162123900	1616162124294	OK	 
USER	Performance simulation	157	END	1616162123892	1616162124295
USER	Performance simulation	162	START	1616162124302	1616162124302
USER	Performance simulation	163	START	1616162124311	1616162124311
USER	Performance simulation	164	START	1616162124362	1616162124362
REQUEST	155		Create article: Second title	1616162123789	1616162124380	OK	 
USER	Performance simulation	155	END	1616162123783	1616162124381
USER	Performance simulation	165	START	1616162124400	1616162124400
REQUEST	156		Create article: Third title	1616162123841	1616162124441	OK	 
USER	Performance simulation	156	END	1616162123830	1616162124441
USER	Performance simulation	166	START	1616162124451	1616162124451
REQUEST	159		Create article: Third title	1616162124118	1616162124512	OK	 
USER	Performance simulation	159	END	1616162124112	1616162124513
USER	Performance simulation	167	START	1616162124533	1616162124533
REQUEST	158		Create article: Second title	1616162124029	1616162124615	OK	 
USER	Performance simulation	158	END	1616162124022	1616162124615
USER	Performance simulation	168	START	1616162124701	1616162124701
USER	Performance simulation	169	START	1616162124712	1616162124712
USER	Performance simulation	170	START	1616162124732	1616162124732
